,target: 2025Q1
2024-12-13,0.33143879
2024-12-20,0.331623016
2024-12-27,0.215668173
2025-01-03,0.370865403
2025-01-10,0.370865403
2025-01-17,0.409391205
2025-01-24,0.422964297
2025-01-31,0.423435078
2025-02-07,0.40882599
2025-02-14,0.500234473
2025-02-21,0.53937725
2025-02-28,0.551623433
2025-03-07,0.164231177
2025-03-14,0.136678517
2025-03-21,0.125327714
2025-03-28,0.123378287
2025-04-04,0.123378287
2025-04-11,0.413952896
2025-04-18,0.413952896
2025-04-25,0.43116347
