,target: 2025Q2
2025-03-14,0.2466831
2025-03-21,0.244480052
2025-03-28,0.278380272
2025-04-04,0.278380272
2025-04-11,0.633517627
2025-04-18,0.633517627
2025-04-25,0.641831507
2025-05-02,0.868804725
2025-05-09,0.864506724
2025-05-16,0.864506724
2025-05-23,0.929432579
2025-05-30,0.874381494
2025-06-06,0.74987817
2025-06-13,0.738510265
2025-06-20,0.678208629
2025-06-27,0.68861889
2025-07-04,0.617296516
2025-07-11,0.617296516
2025-07-18,0.621447819
2025-07-25,0.717814561
